latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,region
-3.32043,105.04528,338.1,0.52,0.41,2023-09-01,644,N,VIIRS,n,2,304.59,5.35,D,0,sumatra
-3.32021,103.59615,338.03,0.44,0.38,2023-09-01,644,N,VIIRS,n,2,301.33,3.93,D,0,sumatra
-3.31929,104.68349,347.41,0.49,0.4,2023-09-01,644,N,VIIRS,n,2,305.43,9.52,D,0,sumatra
-3.31574,105.02555,347.02,0.51,0.41,2023-09-01,644,N,VIIRS,n,2,308.4,21.59,D,0,sumatra
-3.31552,101.94672,334.81,0.39,0.36,2023-09-01,644,N,VIIRS,n,2,298.53,2.62,D,0,sumatra
-3.315,105.0302,338.22,0.51,0.41,2023-09-01,644,N,VIIRS,n,2,304.94,21.59,D,0,sumatra
-3.31498,101.95024,333.11,0.39,0.36,2023-09-01,644,N,VIIRS,n,2,299.17,4.04,D,0,sumatra
-3.31487,104.68737,339.8,0.49,0.41,2023-09-01,644,N,VIIRS,n,2,307.88,10.23,D,0,sumatra
-3.31266,105.02033,344.36,0.51,0.41,2023-09-01,644,N,VIIRS,n,2,298.33,14.49,D,0,sumatra
-3.31193,105.02497,354.73,0.51,0.41,2023-09-01,644,N,VIIRS,n,2,306.66,21.59,D,0,sumatra
-3.31119,105.02961,330.81,0.51,0.41,2023-09-01,644,N,VIIRS,l,2,304.76,21.59,D,0,sumatra
-3.30972,105.03889,336.09,0.52,0.41,2023-09-01,644,N,VIIRS,n,2,302.29,13.83,D,0,sumatra
-3.3074,104.68622,345.63,0.49,0.41,2023-09-01,644,N,VIIRS,n,2,306.31,6.28,D,0,sumatra
-3.30738,105.02903,336,0.51,0.41,2023-09-01,644,N,VIIRS,n,2,303.63,5.19,D,0,sumatra
-3.30665,105.03367,335.03,0.51,0.41,2023-09-01,644,N,VIIRS,l,2,305.59,14.88,D,0,sumatra
-3.30591,105.0383,337.61,0.52,0.41,2023-09-01,644,N,VIIRS,n,2,306.76,14.88,D,0,sumatra
-3.30357,105.02844,334.99,0.51,0.41,2023-09-01,644,N,VIIRS,n,2,300.44,5.19,D,0,sumatra
-3.30284,105.03308,349.61,0.51,0.41,2023-09-01,644,N,VIIRS,n,2,304.17,14.88,D,0,sumatra
-3.3021,105.03772,336.4,0.52,0.41,2023-09-01,644,N,VIIRS,n,2,304.92,14.88,D,0,sumatra
-3.29976,105.02786,336.49,0.51,0.41,2023-09-01,644,N,VIIRS,n,2,300.17,4.89,D,0,sumatra
-3.29829,104.9203,339.93,0.51,0.41,2023-09-01,644,N,VIIRS,n,2,300.79,6.86,D,0,sumatra
